"virus";"material";"temperature";"humidity";"replicate";"time";"titer"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"24";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"24";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"24";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"48";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"48";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"48";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"72";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"72";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"72";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"96";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"96";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"96";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"120";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"120";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"120";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"144";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"144";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"144";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"1";"168";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"2";"168";"3.1622776601683795"
"SARS-CoV-1";"Cardboard";"21-23";"40";"3";"168";"3.1622776601683795"
"SARS-CoV-1";"Aerosols";"21-23";"65";"1";"0";"10000"
"SARS-CoV-1";"Aerosols";"21-23";"65";"2";"0";"5623.4132519034993"
"SARS-CoV-1";"Aerosols";"21-23";"65";"3";"0";"3162.2776601683804"
"SARS-CoV-1";"Aerosols";"21-23";"65";"1";"0.5";"3162.2776601683804"
"SARS-CoV-1";"Aerosols";"21-23";"65";"2";"0.5";"3162.2776601683804"
"SARS-CoV-1";"Aerosols";"21-23";"65";"3";"0.5";"5623.4132519034993"
"SARS-CoV-1";"Aerosols";"21-23";"65";"1";"1";"3162.2776601683804"
"SARS-CoV-1";"Aerosols";"21-23";"65";"2";"1";"3162.2776601683804"
"SARS-CoV-1";"Aerosols";"21-23";"65";"3";"1";"1000"
"SARS-CoV-1";"Aerosols";"21-23";"65";"1";"2";"3162.2776601683804"
"SARS-CoV-1";"Aerosols";"21-23";"65";"2";"2";"5623.4132519034993"
"SARS-CoV-1";"Aerosols";"21-23";"65";"3";"2";"562.34132519034927"
"SARS-CoV-1";"Aerosols";"21-23";"65";"1";"3";"1000"
"SARS-CoV-1";"Aerosols";"21-23";"65";"2";"3";"1000"
"SARS-CoV-1";"Aerosols";"21-23";"65";"3";"3";"562.34132519034927"
